type	stac_version	id	title	description	links	keywords	license	providers	extent	summaries	assets
Collection	1.1.0	reanalysis-era5-pressure-levels	ERA5 hourly data on pressure levels from 1940 to present	"ERA5 is the fifth generation ECMWF reanalysis for the global climate and weather for the past 8 decades.
Data is available from 1940 onwards.
ERA5 replaces the ERA-Interim reanalysis.
Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. This principle, called data assimilation, is based on the method used by numerical weather prediction centres, where every so many hours (12 hours at ECMWF) a previous forecast is combined with newly available observations in an optimal way to produce a new best estimate of the state of the atmosphere, called analysis, from which an updated, improved forecast is issued. Reanalysis works in the same way, but at reduced resolution to allow for the provision of a dataset spanning back several decades. Reanalysis does not have the constraint of issuing timely forecasts, so there is more time to collect observations, and when going further back in time, to allow for the ingestion of improved versions of the original observations, which all benefit the quality of the reanalysis product.
ERA5 provides hourly estimates for a large number of atmospheric, ocean-wave and land-surface quantities.
An uncertainty estimate is sampled by an underlying 10-member ensemble
at three-hourly intervals. Ensemble mean and spread have been pre-computed for convenience.
Such uncertainty estimates are closely related to the information content of the available observing system which
has evolved considerably over time. They also indicate flow-dependent sensitive areas.
To facilitate many climate applications, monthly-mean averages have been pre-calculated too,
though monthly means are not available for the ensemble mean and spread.
ERA5 is updated daily with a latency of about 5 days. In case that serious flaws are detected in this early release (called ERA5T), this data could be different from the final release 2 to 3 months later. In case that this occurs users are notified.
The data set presented here is a regridded subset of the full ERA5 data set on native resolution.
It is online on spinning disk, which should ensure fast and easy access.
It should satisfy the requirements for most common applications.
An overview of all ERA5 datasets can be found in this article.
Information on access to ERA5 data on native resolution is provided in these guidelines.
Data has been regridded to a regular lat-lon grid of 0.25 degrees for the reanalysis and 0.5 degrees for
the uncertainty estimate (0.5 and 1 degree respectively for ocean waves).
There are four main sub sets: hourly and monthly products, both on pressure levels (upper air fields) and single levels (atmospheric, ocean-wave and land surface quantities).
The present entry is ""ERA5 hourly data on pressure levels from 1940 to present""."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/reanalysis-era5-pressure-levels'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Atmosphere (surface)', 'Variable domain: Atmosphere (upper air)', 'Provider: Copernicus C3S']	CC-BY-4.0	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[0.0, -89.0, 360.0, 89.0]]}, 'temporal': {'interval': [['1940-01-01T00:00:00Z', '2026-02-02T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/reanalysis-era5-pressure-levels/overview_652fd83a7b2ed724ce541e563beff9c4484c3482bc08334a638a4bc47ae4cf0f.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	reanalysis-era5-single-levels	ERA5 hourly data on single levels from 1940 to present	"ERA5 is the fifth generation ECMWF reanalysis for the global climate and weather for the past 8 decades.
Data is available from 1940 onwards.
ERA5 replaces the ERA-Interim reanalysis.
Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. This principle, called data assimilation, is based on the method used by numerical weather prediction centres, where every so many hours (12 hours at ECMWF) a previous forecast is combined with newly available observations in an optimal way to produce a new best estimate of the state of the atmosphere, called analysis, from which an updated, improved forecast is issued. Reanalysis works in the same way, but at reduced resolution to allow for the provision of a dataset spanning back several decades. Reanalysis does not have the constraint of issuing timely forecasts, so there is more time to collect observations, and when going further back in time, to allow for the ingestion of improved versions of the original observations, which all benefit the quality of the reanalysis product.
ERA5 provides hourly estimates for a large number of atmospheric, ocean-wave and land-surface quantities.
An uncertainty estimate is sampled by an underlying 10-member ensemble
at three-hourly intervals. Ensemble mean and spread have been pre-computed for convenience.
Such uncertainty estimates are closely related to the information content of the available observing system which
has evolved considerably over time. They also indicate flow-dependent sensitive areas.
To facilitate many climate applications, monthly-mean averages have been pre-calculated too,
though monthly means are not available for the ensemble mean and spread.
ERA5 is updated daily with a latency of about 5 days. In case that serious flaws are detected in this early release (called ERA5T), this data could be different from the final release 2 to 3 months later. In case that this occurs users are notified.
The data set presented here is a regridded subset of the full ERA5 data set on native resolution.
It is online on spinning disk, which should ensure fast and easy access.
It should satisfy the requirements for most common applications.
An overview of all ERA5 datasets can be found in this article.
Information on access to ERA5 data on native resolution is provided in these guidelines.
Data has been regridded to a regular lat-lon grid of 0.25 degrees for the reanalysis and 0.5 degrees for
the uncertainty estimate (0.5 and 1 degree respectively for ocean waves).
There are four main sub sets: hourly and monthly products, both on pressure levels (upper air fields) and single levels (atmospheric, ocean-wave and land surface quantities).
The present entry is ""ERA5 hourly data on single levels from 1940 to present""."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/reanalysis-era5-single-levels'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Atmosphere (surface)', 'Variable domain: Atmosphere (upper air)', 'Provider: Copernicus C3S']	CC-BY-4.0	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[0.0, -89.0, 360.0, 89.0]]}, 'temporal': {'interval': [['1940-01-01T00:00:00Z', '2026-02-02T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/reanalysis-era5-single-levels/overview_c37c9fd3b18a36a2c656bb4541d37c3bb8a08d2d9ef6708227b87cb47e90a873.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	reanalysis-era5-land	ERA5-Land hourly data from 1950 to present	"ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to ERA5. ERA5-Land has been produced by replaying the land component of the ECMWF ERA5 climate reanalysis. Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. Reanalysis produces data that goes several decades back in time, providing an accurate description of the climate of the past. 
ERA5-Land uses as input to control the simulated land fields ERA5 atmospheric variables, such as air temperature and air humidity. This is called the atmospheric forcing. Without the constraint of the atmospheric forcing, the model-based estimates can rapidly deviate from reality. Therefore, while observations are not directly used in the production of ERA5-Land, they have an indirect influence through the atmospheric forcing used to run the simulation. In addition, the input air temperature, air humidity and pressure used to run ERA5-Land are corrected to account for the altitude difference between the grid of the forcing and the higher resolution grid of ERA5-Land. This correction is called 'lapse rate correction'.    
The ERA5-Land dataset, as any other simulation, provides estimates which have some degree of uncertainty. Numerical models can only provide a more or less accurate representation of the real physical processes governing different components of the Earth System. In general, the uncertainty of model estimates grows as we go back in time, because the number of observations available to create a good quality atmospheric forcing is lower. ERA5-land parameter fields can currently be used in combination with the uncertainty of the equivalent ERA5 fields. 
The temporal and spatial resolutions of ERA5-Land makes this dataset very useful for all kind of land surface applications such as flood or drought forecasting. The temporal and spatial resolution of this dataset, the period covered in time, as well as the fixed grid used for the data distribution at any period enables decisions makers, businesses and individuals to access and use more accurate information on land states."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/reanalysis-era5-land'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Land (biosphere)', 'Variable domain: Land (hydrology)', 'Provider: Copernicus C3S', 'Variable domain: Land (physics)']	CC-BY-4.0	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[0.0, -89.0, 360.0, 89.0]]}, 'temporal': {'interval': [['1950-01-01T00:00:00Z', '2026-02-02T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/reanalysis-era5-land/overview_b1aff34cd85b75516f935463b89486af284bdeb61afeb565d6e5d273bcfb4ac6.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	reanalysis-era5-single-levels-timeseries	ERA5 hourly time-series data on single levels from 1940 to present	"ERA5 is the fifth generation ECMWF reanalysis for the global climate and weather for the past 8 decades.
Data is available from 1940 onwards. ERA5 replaces the ERA-Interim reanalysis.
Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. This principle, called data assimilation, is based on the method used by numerical weather prediction centres, where every so many hours (12 hours at ECMWF) a previous forecast is combined with newly available observations in an optimal way to produce a new best estimate of the state of the atmosphere, called analysis, from which an updated, improved forecast is issued. Reanalysis works in the same way, but at reduced resolution to allow for the provision of a dataset spanning back several decades. Reanalysis does not have the constraint of issuing timely forecasts, so there is more time to collect observations, and when going further back in time, to allow for the ingestion of improved versions of the original observations, which all benefit the quality of the reanalysis product.
ERA5 provides hourly estimates for a large number of atmospheric, ocean-wave and land-surface quantities.
An uncertainty estimate is sampled by an underlying 10-member ensemble
at three-hourly intervals. Ensemble mean and spread have been pre-computed for convenience.
Such uncertainty estimates are closely related to the information content of the available observing system which
has evolved considerably over time. They also indicate flow-dependent sensitive areas.
To facilitate many climate applications, monthly-mean averages have been pre-calculated too,
though monthly means are not available for the ensemble mean and spread.
ERA5 is updated daily with a latency of about 5 days. In case that serious flaws are detected in this early release (called ERA5T), this data could be different from the final release 2 to 3 months later. In case that this occurs users are notified.
The dataset presented here is a regridded subset of the full ERA5 data set on native resolution that is stored in a format designed for retrieving long time-series for a single point. When the requested location does not match the exact location of a grid point then the nearest grid point is used instead. It is this source of ERA5 data that is used by the ERA-Explorer to ensure response times required for the interactive web-application.
An overview of all ERA5 datasets can be found in this article.
Information on access to ERA5 data on native resolution is provided in these guidelines."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/reanalysis-era5-single-levels-timeseries'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Atmosphere (surface)', 'Variable domain: Atmosphere (upper air)', 'Provider: Copernicus C3S']	CC-BY-4.0	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[-180.0, -89.0, 180.0, 89.0]]}, 'temporal': {'interval': [['1940-01-01T00:00:00Z', '2024-12-06T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/reanalysis-era5-single-levels-timeseries/overview_d9a171109cee68a5dab12ba883fe32b5867f52ca4d64e9f6d5b6f25998d4735c.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	derived-era5-pressure-levels-daily-statistics	ERA5 post-processed daily statistics on pressure levels from 1940 to present	"ERA5 is the fifth generation ECMWF reanalysis for the global climate and weather for the past 8 decades.
Data is available from 1940 onwards.
ERA5 replaces the ERA-Interim reanalysis.
Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. This principle, called data assimilation, is based on the method used by numerical weather prediction centres, where every so many hours (12 hours at ECMWF) a previous forecast is combined with newly available observations in an optimal way to produce a new best estimate of the state of the atmosphere, called analysis, from which an updated, improved forecast is issued. Reanalysis works in the same way, but at reduced resolution to allow for the provision of a dataset spanning back several decades. Reanalysis does not have the constraint of issuing timely forecasts, so there is more time to collect observations, and when going further back in time, to allow for the ingestion of improved versions of the original observations, which all benefit the quality of the reanalysis product.
This catalogue entry provides post-processed ERA5 hourly pressure-level data aggregated to daily time steps.  In addition to the data selection options found on the hourly page, the following options can be selected for the daily statistic calculation:

The daily aggregation statistic (daily mean, daily max, daily min)
The sub-daily frequency sampling of the original data (1 hour, 3 hours, 6 hours)
The option to shift to any local time zone in UTC (no shift means the statistic is computed from UTC+00:00)

Users should be aware that the daily aggregation is calculated during the retrieval process and is not part of a permanently archived dataset. For more details on how the daily statistics are calculated, including demonstrative code,  please see the documentation.
For more details on the hourly data used to calculate the daily statistics, please refer to the ERA5 hourly pressure-level data catalogue entry and the documentation found therein."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/derived-era5-pressure-levels-daily-statistics'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Atmosphere (surface)', 'Variable domain: Atmosphere (upper air)', 'Provider: Copernicus C3S']	CC-BY-4.0	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[0.0, -89.0, 360.0, 89.0]]}, 'temporal': {'interval': [['1940-01-01T00:00:00Z', '2026-02-01T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/derived-era5-pressure-levels-daily-statistics/overview_e28f72b6546b38a861b557b9226de6d4045d8e4e36bc5beaa9e43cbd4dd81363.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	sis-agrometeorological-indicators	Agrometeorological indicators from 1979 to present derived from reanalysis	"This dataset provides daily surface meteorological data for the period from 1979 to present as input for agriculture and agro-ecological studies. This dataset is based on the hourly ECMWF ERA5 data at surface level and is referred to as AgERA5. Acquisition and pre-processing of the original ERA5 data is a complex and specialized job. By providing the AgERA5 dataset, users are freed from this work and can directly start with meaningful input for their analyses and modelling. To this end, the variables provided in this dataset match the input needs of most agriculture and agro-ecological models.
Data were aggregated to daily time steps at the local time zone and corrected towards a finer topography at a 0.1° spatial resolution. The correction to the 0.1° grid was realized by applying grid and variable-specific regression equations to the ERA5 dataset interpolated at 0.1° grid. The equations were trained on ECMWF's operational high-resolution atmospheric model (HRES) at a 0.1° resolution. This way the data is tuned to the finer topography, finer land use pattern and finer land-sea delineation of the ECMWF HRES model.
The data was produced on behalf of the Copernicus Climate Change Service."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/sis-agrometeorological-indicators'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Land (biosphere)', 'Provider: Copernicus C3S', 'Sector: Agriculture']	CC-BY-4.0	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[0.0, -90.0, 360.0, 90.0]]}, 'temporal': {'interval': [['1979-01-01T00:00:00Z', '2026-01-31T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/sis-agrometeorological-indicators/overview_cce4a251dffbd34931623510f3c35fe07173988da243008709e08a96297172b9.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	derived-utci-historical	Thermal comfort indices derived from ERA5 reanalysis	"This dataset provides a complete historical reconstruction for a set of indices representing human thermal stress and discomfort in outdoor conditions. This dataset, also known as ERA5-HEAT (Human thErmAl comforT) represents the current state-of-the-art for bioclimatology data record production.
The dataset is organised around two main variables:

the mean radiant temperature (MRT)
the universal thermal climate index (UTCI)

These variables describe how the human body experiences atmospheric conditions, specifically air temperature, humidity, ventilation and radiation.
The dataset is computed using the ERA5 reanalysis from the European Centre for Medium-Range Forecasts (ECMWF). ERA5 combines model data with observations from across the world to provide a globally complete and consistent description of the Earth’s climate and its evolution in recent decades. ERA5 is regarded as a good proxy for observed atmospheric conditions.
The dataset currently covers 01/01/1940 to near real time and is regularly extended as ERA5 data become available.
The dataset is produced by the European Centre for Medium-range Weather Forecasts."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/derived-utci-historical'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Atmosphere (surface)', 'Variable domain: Atmosphere (upper air)', 'Provider: Copernicus C3S']	other	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[0.0, -60.0, 360.0, 90.0]]}, 'temporal': {'interval': [['1939-12-01T00:00:00Z', '2026-02-02T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/derived-utci-historical/overview_67efa41f6b71502f2884c803b25437e4ac764e2b462945cfc5488eb49d1619d7.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	derived-era5-single-levels-daily-statistics	ERA5 post-processed daily statistics on single levels from 1940 to present	"ERA5 is the fifth generation ECMWF reanalysis for the global climate and weather for the past 8 decades.
Data is available from 1940 onwards.
ERA5 replaces the ERA-Interim reanalysis.
Reanalysis combines model data with observations from across the world into a globally complete and consistent dataset using the laws of physics. This principle, called data assimilation, is based on the method used by numerical weather prediction centres, where every so many hours (12 hours at ECMWF) a previous forecast is combined with newly available observations in an optimal way to produce a new best estimate of the state of the atmosphere, called analysis, from which an updated, improved forecast is issued. Reanalysis works in the same way, but at reduced resolution to allow for the provision of a dataset spanning back several decades. Reanalysis does not have the constraint of issuing timely forecasts, so there is more time to collect observations, and when going further back in time, to allow for the ingestion of improved versions of the original observations, which all benefit the quality of the reanalysis product.
This catalogue entry provides post-processed ERA5 hourly single-level data aggregated to daily time steps. In addition to the data selection options found on the hourly page, the following options can be selected for the daily statistic calculation:

The daily aggregation statistic (daily mean, daily max, daily min, daily sum*)
The sub-daily frequency sampling of the original data (1 hour, 3 hours, 6 hours)
The option to shift to any local time zone in UTC (no shift means the statistic is computed from UTC+00:00)

*The daily sum is only available for the accumulated variables (see ERA5 documentation for more details).
Users should be aware that the daily aggregation is calculated during the retrieval process and is not part of a permanently archived dataset. For more details on how the daily statistics are calculated, including demonstrative code, please see the documentation.
For more details on the hourly data used to calculate the daily statistics, please refer to the ERA5 hourly single-level data catalogue entry and the documentation found therein."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/derived-era5-single-levels-daily-statistics'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Atmosphere (surface)', 'Variable domain: Atmosphere (upper air)', 'Provider: Copernicus C3S']	CC-BY-4.0	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[0.0, -89.0, 360.0, 89.0]]}, 'temporal': {'interval': [['1940-01-01T00:00:00Z', '2026-02-01T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/derived-era5-single-levels-daily-statistics/overview_593e6a72773f0dd1e6b665ff4fe2e184f1cd7b175c143e28caa61c569fe82dd3.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	reanalysis-era5-land-timeseries	ERA5 Land hourly time-series data from 1950 to present	"ERA5-Land is a reanalysis dataset providing a consistent view of the evolution of land variables over several decades at an enhanced resolution compared to the 
Fifth Generation of the European Centre for Medium-Range Weather Forecasts (ECMWF) Reanalysis (ERA5).
Produced by replaying only the land component of the ECMWF ERA5 climate reanalysis, it benefits from the same physical data-assimilation framework but runs offline at 
higher spatial detail (9 km grid) to deliver richer land-surface information. 
Reanalysis merges numerical model output with global observations into a globally complete, physically consistent climate record; 
this “data assimilation” approach mirrors operational weather forecasting but is optimised for historical completeness rather than forecast timeliness.
Reanalysis datasets extend back several decades by sacrificing forecast deadlines, allowing additional time to gather observations and retrospectively ingest improved data, 
thereby enhancing data quality in earlier periods.
ERA5-Land uses atmospheric fields from ERA5—air temperature, humidity, pressure—as “forcing” inputs to drive its land-surface model, 
preventing rapid drift from reality that unconstrained simulations would suffer.
 Although observations do not enter the land model directly, they shape the atmospheric forcing through assimilation, giving ERA5-Land an indirect observational anchor.
 To reconcile ERA5’s coarser grid with ERA5-Land’s finer 9 km grid, a lapse-rate correction adjusts input temperatures, humidity, and pressures for altitude differences.
Like all numerical simulations, ERA5-Land carries uncertainty that generally grows backward in time as fewer observations were available to constrain the forcing.
 Users can combine ERA5-Land fields with the uncertainty estimates from equivalent ERA5 variables to assess confidence bounds.
The temporal resolution (hourly) and spatial detail (9 km) of ERA5-Land make it invaluable for land-surface applications such as flood and drought forecasting, 
agricultural monitoring, and hydrological studies.
The dataset presented here is a regridded subset of the full ERA5-Land archive, stored in an Analysis-Ready, 
Cloud-Optimised (ARCO) format specifically designed for retrieving long time-series for individual points. 
When a user’s requested location does not exactly match a grid point, the nearest grid point is automatically selected. This optimised data source ensures rapid response times."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/reanalysis-era5-land-timeseries'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}]	['Product type: Reanalysis', 'Temporal coverage: Past', 'Spatial coverage: Global', 'Variable domain: Land (biosphere)', 'Variable domain: Land (hydrology)', 'Provider: Copernicus C3S', 'Variable domain: Land (physics)']	CC-BY-4.0	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[-180.0, -89.0, 180.0, 89.0]]}, 'temporal': {'interval': [['1950-01-01T00:00:00Z', '2026-12-31T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/reanalysis-era5-land-timeseries/overview_822e6553dc049058d8147471c52249fc5f0b1e2835136654411ed93c440d014a.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
Collection	1.1.0	seasonal-monthly-ocean	Seasonal forecast monthly averages of ocean variables	"This entry covers global ocean data aggregated to a monthly time resolution. The catalogue entry includes temperature and salinity characteristics of the upper oceans and complements the other seasonal forecast catalogue entries for the land and atmospheric variables. 
Seasonal forecasts provide a long-range outlook of changes in the Earth system over periods of a few weeks or months, as a result of predictable changes in some of the slow-varying components of the system. For example, ocean temperatures typically vary slowly, on timescales of weeks or months; as the ocean has an impact on the overlaying atmosphere, the variability of its properties (e.g. temperature) can modify both local and remote atmospheric conditions. Such modifications of the 'usual' atmospheric conditions are the essence of all long-range (e.g. seasonal) forecasts. This is different from a weather forecast, which gives a lot more precise detail - both in time and space - of the evolution of the state of the atmosphere over a few days into the future. Beyond a few days, the chaotic nature of the atmosphere limits the possibility to predict precise changes at local scales. This is one of the reasons long-range forecasts of atmospheric conditions have large uncertainties. To quantify such uncertainties, long-range forecasts use ensembles, and meaningful forecast products reflect distributions of outcomes.
Given the complex, non-linear interactions between the individual components of the Earth system, the best tools for long-range forecasting are climate models which include as many of the key components of the system and possible; typically, such models include representations of the atmosphere, ocean and land surface. These models are initialised with data describing the state of the system at the starting point of the forecast and used to predict the evolution of this state in time. While uncertainties coming from imperfect knowledge of the initial conditions of the components of the Earth system can be described with the use of ensembles, uncertainty arising from approximations made in the models are very much dependent on the choice of model. A convenient way to quantify the effect of these approximations is to combine outputs from several models, independently developed, initialised and operated.
To this effect, the C3S provides a multi-system seasonal forecast service, where data produced by state-of-the-art seasonal forecast systems developed, implemented and operated at forecast centres in several European countries is collected, processed and combined to enable user-relevant applications. The composition of the C3S seasonal multi-system and the full content of the database underpinning the service are described in the documentation. The seasonal forecast data is grouped in several catalogue entries (CDS datasets), currently defined by the model component and type of variable: outputs from the ocean component or the atmospheric one (single-level or multi-level, on pressure surfaces) and the level of post-processing applied (data at original time resolution, processing on temporal aggregation and post-processing related to bias adjustment).
The data includes forecasts created in real-time each month starting from the publication of this entry and retrospective forecasts (hindcasts) initialised over periods in the past specified in the documentation for each origin and system."	[{'rel': 'self', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/collections/seasonal-monthly-ocean'}, {'rel': 'parent', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'root', 'type': 'application/json', 'href': 'https://cds.climate.copernicus.eu/api/catalogue/v1/'}, {'rel': 'qa', 'href': 'https://cds.climate.copernicus.eu/datasets/seasonal-monthly-ocean?tab=quality_assurance_tab', 'title': 'Quality assessment of the dataset', 'type': 'text/html'}]	['Temporal coverage: Past', 'Spatial coverage: Global', 'Product type: Seasonal forecasts', 'Temporal coverage: Present', 'Provider: Copernicus C3S', 'Variable domain: Ocean (physics)', 'Temporal coverage: Future']	other	[{'name': 'ECMWF'}]	{'spatial': {'bbox': [[0.0, -89.0, 360.0, 89.0]]}, 'temporal': {'interval': [['1993-01-01T00:00:00Z', '2026-02-01T00:00:00Z']]}}	{}	{'thumbnail': {'href': 'https://object-store.os-api.cci2.ecmwf.int:443/cci2-prod-catalogue/resources/seasonal-monthly-ocean/overview_75324753122ef3eaa5933d32635a08de9c1f840203641b44a7b283bef3d96f82.png', 'type': 'image/jpg', 'roles': ['thumbnail']}}
