catalogue	title	thumbnailUrl	sources	processingLevel	areas	geoResolution	vertLevels	tempExtentBegin	tempResolutions	stacOrCswBbox	stacOrCswTbox	mainVariables	_isViewableOmi	numLayers	thumbnailMeta	tempExtentEnd	omiFigureUrl
CMEMS	Global Ocean Physics Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/GLOBAL_ANALYSISFORECAST_PHY_001_024.jpg	['Numerical models']	Level 4	['Global Ocean']	{'row': {'magnitude': 0.083, 'units': 'degree'}, 'column': {'magnitude': 0.083, 'units': 'degree'}}	50	2022-06-18	['Hourly', 'Daily', 'Monthly']	[-180, -80, 179.9169921875, 90]	['2020-11-01T00:00:00.000Z', '2026-02-24T00:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness', 'Wave', 'Sea ice']	False	81	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Global Ocean Waves Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/GLOBAL_ANALYSISFORECAST_WAV_001_027.jpg	['Numerical models']	Level 4	['Global Ocean']	{'row': {'magnitude': 0.083, 'units': 'degree'}, 'column': {'magnitude': 0.083, 'units': 'degree'}}		2021-11-30	['Hourly']	[-180, -80, 179.91666666666666, 90]	['2022-11-01T03:00:00.000Z', '2026-02-24T00:00:00.000Z']	['Velocity', 'Wave']	False	20	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Global Ocean Biogeochemistry Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/GLOBAL_ANALYSISFORECAST_BGC_001_028.jpg	['Numerical models']	Level 4	['Global Ocean']	{'row': {'magnitude': 0.25, 'units': 'degree'}, 'column': {'magnitude': 0.25, 'units': 'degree'}}	50	2023-11-29	['Daily', 'Monthly']	[-180, -80, 179.75, 90]	['2021-10-01T00:00:00.000Z', '2026-02-23T00:00:00.000Z']	['Plankton', 'Nutrients', 'Oxygen', 'Carbonate system', 'Optics']	False	34	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Global Ocean Physics Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/GLOBAL_MULTIYEAR_PHY_001_030.jpg	['Numerical models']	Level 4	['Global Ocean']	{'row': {'magnitude': 0.083, 'units': 'degree'}, 'column': {'magnitude': 0.083, 'units': 'degree'}}	50	1993-01-01	['Daily', 'Monthly']	[-180, -80, 179.9166717529297, 90]	['1993-01-01T00:00:00.000Z', '2025-12-23T00:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness', 'Sea ice']	False	46	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Global Ocean Ensemble Physics Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/GLOBAL_MULTIYEAR_PHY_ENS_001_031.jpg	['Numerical models']	Level 4	['Global Ocean']	{'row': {'magnitude': 0.25, 'units': 'degree'}, 'column': {'magnitude': 0.25, 'units': 'degree'}}	75	1993-01-01	['Daily', 'Monthly']	[-180, -80, 179.75, 90]	['1993-01-01T00:00:00.000Z', '2024-12-31T00:00:00.000Z']	['Temperature', 'Salinity', 'Sea surface height', 'Velocity', 'Mixed layer thickness', 'Sea ice']	False	82	{'basemapId': 'light', 'overlays': {'tags': []}}	2024-12-15	
CMEMS	Global Ocean Waves Reanalysis	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/GLOBAL_MULTIYEAR_WAV_001_032.jpg	['Numerical models']	Level 4	['Global Ocean']	{'row': {'magnitude': 0.2, 'units': 'degree'}, 'column': {'magnitude': 0.2, 'units': 'degree'}}		1980-01-01	['Hourly', 'Monthly']	[-180, -89.80000305175781, 179.8000030517578, 89.80000305175781]	['1980-01-01T00:00:00.000Z', '2025-11-30T21:00:00.000Z']	['Velocity', 'Wave']	False	20	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Global Ocean Biogeochemistry Hindcast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/GLOBAL_MULTIYEAR_BGC_001_029.jpg	['Numerical models']	Level 4	['Global Ocean']	{'row': {'magnitude': 0.25, 'units': 'degree'}, 'column': {'magnitude': 0.25, 'units': 'degree'}}	75	2023-01-01	['Daily', 'Monthly']	[-180, -80, 179.75, 90]	['1993-01-01T00:00:00.000Z', '2025-11-30T00:00:00.000Z']	['Plankton', 'Nutrients', 'Oxygen', 'Carbonate system']	False	22	{'basemapId': 'light', 'overlays': {'tags': []}}		
CMEMS	Global ocean low and mid trophic levels biomass content hindcast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/GLOBAL_MULTIYEAR_BGC_001_033.jpg	['Numerical models']	Level 4	['Global Ocean']	{'row': {'magnitude': 0.083, 'units': 'degree'}, 'column': {'magnitude': 0.083, 'units': 'degree'}}	3	1998-01-01	['Daily']	[-180, -80, 179.9166717529297, 89.91666412353516]	['1998-01-01T00:00:00.000Z', '2024-12-31T00:00:00.000Z']	['Temperature', 'Velocity', 'Nekton', 'Plankton', 'Optics']	False	14	{'basemapId': 'light', 'overlays': {'tags': [{'name': 'LMTL'}]}}	2024-12-31	
CMEMS	Arctic Ocean Physics Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_ANALYSISFORECAST_PHY_002_001.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 6.25, 'units': 'km'}, 'column': {'magnitude': 6.25, 'units': 'km'}}	40	2021-11-30	['Hourly', 'Daily', 'Monthly']	[-180, 50, 179.92000000005623, 90]	['2021-07-05T00:00:00.000Z', '2026-02-23T23:00:00.000Z']	[]	False	73	{'basemapId': 'dark', 'overlays': {'tags': []}}		
CMEMS	Arctic Ocean Wave Analysis and Forecast	https://mdl-metadata.s3.waw3-1.cloudferro.com/metadata/thumbnails/ARCTIC_ANALYSIS_FORECAST_WAV_002_014.jpg	['Numerical models']	Level 4	['Arctic Ocean']	{'row': {'magnitude': 3, 'units': 'km'}, 'column': {'magnitude': 3, 'units': 'km'}}		2017-12-03	['Hourly']	[-179.985, 41.115, 179.98499999999996, 89.985]	['2022-08-01T00:00:00.000Z', '2026-02-22T12:00:00.000Z']	['Velocity', 'Wave', 'Sea ice']	False	24	{'basemapId': 'dark', 'overlays': {'tags': []}}		
