id	title	type	snippet	provider	state_date	end_date	bbox	deprecated	keywords	catalog	url	license
AAFC/ACI	Canada AAFC Annual Crop Inventory	image_collection	ee.ImageCollection('AAFC/ACI')	Agriculture and Agri-Food Canada	2009-01-01	2023-01-01	-135.17, 36.83, -51.24, 62.25	False	aafc, agriculture, canada, crop, landcover	https://storage.googleapis.com/earthengine-stac/catalog/AAFC/AAFC_ACI.json	https://developers.google.com/earth-engine/datasets/catalog/AAFC_ACI	OGL-Canada-2.0
ACA/reef_habitat/v1_0	Allen Coral Atlas (ACA) - Geomorphic Zonation and Benthic Habitat - v1.0 [deprecated]	image	ee.Image('ACA/reef_habitat/v1_0')	Allen Coral Atlas Partnership (ACA)	2018-01-01	2021-01-01	-180, -33, 180, 33	True	coral, ocean, oceans, planet-derived, reef, seagrass, sentinel2-derived	https://storage.googleapis.com/earthengine-stac/catalog/ACA/ACA_reef_habitat_v1_0.json	https://developers.google.com/earth-engine/datasets/catalog/ACA_reef_habitat_v1_0	CC-BY-4.0
ACA/reef_habitat/v2_0	Allen Coral Atlas (ACA) - Geomorphic Zonation and Benthic Habitat - v2.0	image	ee.Image('ACA/reef_habitat/v2_0')	Allen Coral Atlas Partnership (ACA)	2018-01-01	2021-01-01	-180, -33, 180, 33	False	coral, ocean, oceans, planet-derived, reef, seagrass, sentinel2-derived	https://storage.googleapis.com/earthengine-stac/catalog/ACA/ACA_reef_habitat_v2_0.json	https://developers.google.com/earth-engine/datasets/catalog/ACA_reef_habitat_v2_0	CC-BY-4.0
AHN/AHN2_05M_INT	AHN Netherlands 0.5m DEM, Interpolated	image	ee.Image('AHN/AHN2_05M_INT')	AHN	2012-01-01	2012-01-01	3.35, 50.74, 7.24, 53.55	False	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	https://storage.googleapis.com/earthengine-stac/catalog/AHN/AHN_AHN2_05M_INT.json	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_INT	CC0-1.0
AHN/AHN2_05M_NON	AHN Netherlands 0.5m DEM, Non-Interpolated	image	ee.Image('AHN/AHN2_05M_NON')	AHN	2012-01-01	2012-01-01	3.35, 50.74, 7.24, 53.55	False	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	https://storage.googleapis.com/earthengine-stac/catalog/AHN/AHN_AHN2_05M_NON.json	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_NON	CC0-1.0
AHN/AHN2_05M_RUW	AHN Netherlands 0.5m DEM, Raw Samples	image	ee.Image('AHN/AHN2_05M_RUW')	AHN	2012-01-01	2012-01-01	3.35, 50.74, 7.24, 53.55	False	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	https://storage.googleapis.com/earthengine-stac/catalog/AHN/AHN_AHN2_05M_RUW.json	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN2_05M_RUW	CC0-1.0
AHN/AHN3	AHN3: Netherlands AHN 0.5m	image_collection	ee.ImageCollection('AHN/AHN3')	AHN	2014-01-01	2019-01-01	3.35, 50.74, 7.24, 53.55	False	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	https://storage.googleapis.com/earthengine-stac/catalog/AHN/AHN_AHN3.json	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN3	CC0-1.0
AHN/AHN4	AHN4: Netherlands AHN 0.5m	image_collection	ee.ImageCollection('AHN/AHN4')	AHN	2020-01-01	2022-01-01	3.35, 50.74, 7.24, 53.55	False	ahn, dem, elevation, elevation-topography, geophysical, lidar, netherlands	https://storage.googleapis.com/earthengine-stac/catalog/AHN/AHN_AHN4.json	https://developers.google.com/earth-engine/datasets/catalog/AHN_AHN4	CC0-1.0
ASTER/AST_L1T_003	ASTER L1T Radiance	image_collection	ee.ImageCollection('ASTER/AST_L1T_003')	NASA LP DAAC at the USGS EROS Center	2000-03-04	2025-05-30	-180, -90, 180, 90	False	aster, eos, imagery, nasa, nir, radiance, satellite-imagery, swir, terra, thermal, tir, toa, usgs, vnir	https://storage.googleapis.com/earthengine-stac/catalog/ASTER/ASTER_AST_L1T_003.json	https://developers.google.com/earth-engine/datasets/catalog/ASTER_AST_L1T_003	other
AU/GA/AUSTRALIA_5M_DEM	Australian 5M DEM	image_collection	ee.ImageCollection('AU/GA/AUSTRALIA_5M_DEM')	Geoscience Australia	2015-12-01	2015-12-01	114.09, -43.45, 153.64, -9.88	False	australia, dem, elevation, elevation-topography, ga, geophysical, geoscience-australia, lidar	https://storage.googleapis.com/earthengine-stac/catalog/AU/AU_GA_AUSTRALIA_5M_DEM.json	https://developers.google.com/earth-engine/datasets/catalog/AU_GA_AUSTRALIA_5M_DEM	CC-BY-4.0
