title	id	url	slug	summary	access	created	updated	isPrivate	isApi	accessInfo
ALS Raster Kaernten 2023	70	https://gis.ktn.gv.at/ogd/custom/stac_cat_ktn/STAC_2023/kagis-catalog/catalog.json	als-raster-kaernten-2023	Elevation data and ortho photos Spatial temporal catalog test	public	2023-03-16T09:15:31.242Z	2023-03-16T09:15:31.242Z	False	False	
Astraea Earth OnDemand	16	https://eod-catalog-svc-prod.astraea.earth/	astraea-earth-ondemand	Astraea Earth OnDemand geospatial imagery query and analysis tool	public	2020-09-02T19:21:50.464Z	2020-09-02T19:21:50.464Z	False	True	
CBERS and Amazonia-1 on AWS	8	https://stac.amskepler.com/v100/	cbers	Imagery acquired by the China-Brazil Earth Resources (CBERS) and Amazonia-1 satellites. The image files are recorded and processed by INPE and are converted to Cloud Optimized Geotiff format in order to optimize its use for cloud based applications. Daily updated and hosted on AWS.	public	2020-08-20T00:00:00.000Z	2023-02-15T11:00:00.000Z	False	True	
CREODIAS	68	https://datahub.creodias.eu/stac/	creodias	Release post: [https://creodias.eu/forum/-/message_boards/message/291442]	protected	2023-02-23T17:49:39.814Z	2023-02-23T17:49:39.814Z	True	False	Some data is 'orderable', but can be requested through a custom API, using an account from https://creodias.eu/
California Forest Observatory	27	https://storage.googleapis.com/cfo-public/catalog.json	forest-observatory	The Forest Observatory is a data-driven forest monitoring system that maps the drivers of wildfire behavior across the state with a focus on vegetation fuels. Data are available for non-commercial use under the Forest Observatory [terms of use](https://forestobservatory.com/legal.html).	public	2021-01-14T17:33:34.176Z	2021-01-14T17:33:34.176Z	False	False	
Capella Space Open Data	55	https://capella-open-data.s3.us-west-2.amazonaws.com/stac/catalog.json	capella-space-open-data	This open SAR dataset contains > 100 Capella Space scenes.   Imaging modes: Spotlight, Stripmap and Sliding Spotlight.   Image product types: Single Look Complex (SLC), Geocoded Terrain Corrected (GEO), Geocoded Ellipsoid Corrected (GEC) and Sensor Independent Complex Data (SICD)	public	2022-09-28T05:32:04.142Z	2022-09-28T05:32:04.142Z	False	False	
Cassini VIMS-IR STAC catalog	83	https://vims.univ-nantes.fr/stac/catalog.json	cassini-vims-ir	[Cassini/VIMS infrared dataset](https://vims.univ-nantes.fr) hosted at the University of Nantes.	public	2023-09-18T15:35:38.860Z	2023-10-02T15:35:38.860Z	False	False	
Copernicus Data Space Ecosystem	90	https://catalogue.dataspace.copernicus.eu/stac	cdse	An open ecosystem that provides free instant access to a wide range of data and services from the Copernicus Sentinel missions and more on our planet’s land, oceans and atmosphere.	public	2024-02-15T13:42:10.773Z	2024-02-15T13:42:10.773Z	False	True	
Copernicus Data Space Ecosystem (openEO)	78	https://openeo.dataspace.copernicus.eu/openeo/1.2	cdse-openeo	This openEO service runs on the [Copernicus Data Space Ecosystem](https://dataspace.copernicus.eu/) and offers data access and processing on full archives of Copernicus data, such as the Sentinels.	protected	2023-09-02T16:08:53.927Z	2023-09-02T16:08:53.927Z	True	False	Please visit the [Copernicus Data Space Ecosystem](https://dataspace.copernicus.eu/) homepage for details.
Cubes and Clouds - Snow Cover	91	https://esa.pages.eox.at/cubes-and-clouds-catalog/MOOC_Cubes_and_clouds/catalog.json	cubes-and-clouds-snow-cover	Snow Cover Community Mapping Project of the MOOC Cubes and Clouds - Cloud Native Open Data Science for Earth Observation. Every item comes from a successful participant of the online course!	public	2024-02-21T15:38:28.785Z	2024-02-21T15:38:28.785Z	False	False	
